Duration,MaxIAT,MinIAT,SynCount,AckCount,FinCount,RstCount,UrgCount,FwdPktCount,BwdPktCount,FwdBytes,BwdBytes,DstPort,HdrLen,Protocol,MaxWinSize,Label
1007812096,1007812096,1007812096,0,0,0,0,0,1,1,87,87,63473,56,17,0,CC
5712128,5712128,5712128,0,0,0,0,0,1,1,86,86,63474,56,17,0,CC
1007043840,1007043840,1007043840,0,0,0,0,0,1,1,87,87,63475,56,17,0,CC
5418240,5418240,5418240,0,0,0,0,0,1,1,86,86,63476,56,17,0,CC
1007204864,1007204864,1007204864,0,0,0,0,0,1,1,87,87,63477,56,17,0,CC
5514752,5514752,5514752,0,0,0,0,0,1,1,86,86,63478,56,17,0,CC
2008292096,2008292096,2008292096,0,0,0,0,0,1,1,87,87,63479,56,17,0,CC
6095104,6095104,6095104,0,0,0,0,0,1,1,86,86,63480,56,17,0,CC
2007998976,2007998976,2007998976,0,0,0,0,0,1,1,87,87,63481,56,17,0,CC
5362944,5362944,5362944,0,0,0,0,0,1,1,86,86,63482,56,17,0,CC
2008305152,2008305152,2008305152,0,0,0,0,0,1,1,87,87,63483,56,17,0,CC
5270784,5270784,5270784,0,0,0,0,0,1,1,86,86,63484,56,17,0,CC
2007974144,2007974144,2007974144,0,0,0,0,0,1,1,87,87,63485,56,17,0,CC
5648128,5648128,5648128,0,0,0,0,0,1,1,86,86,63486,56,17,0,CC
1007289344,1007289344,1007289344,0,0,0,0,0,1,1,87,87,63487,56,17,0,CC
5292032,5292032,5292032,0,0,0,0,0,1,1,86,86,63488,56,17,0,CC
2008183040,2008183040,2008183040,0,0,0,0,0,1,1,87,87,63489,56,17,0,CC
5641984,5641984,5641984,0,0,0,0,0,1,1,86,86,63490,56,17,0,CC
1007471104,1007471104,1007471104,0,0,0,0,0,1,1,87,87,63491,56,17,0,CC
5278208,5278208,5278208,0,0,0,0,0,1,1,86,86,63492,56,17,0,CC
2008316928,2008316928,2008316928,0,0,0,0,0,1,1,87,87,63493,56,17,0,CC
5629952,5629952,5629952,0,0,0,0,0,1,1,86,86,63494,56,17,0,CC
1012361984,1012361984,1012361984,0,0,0,0,0,1,1,87,87,63495,56,17,0,CC
5652992,5652992,5652992,0,0,0,0,0,1,1,86,86,63496,56,17,0,CC
1006989056,1006989056,1006989056,0,0,0,0,0,1,1,87,87,63497,56,17,0,CC
5327104,5327104,5327104,0,0,0,0,0,1,1,86,86,63498,56,17,0,CC
2016955904,2016955904,2016955904,0,0,0,0,0,1,1,87,87,63499,56,17,0,CC
5351680,5351680,5351680,0,0,0,0,0,1,1,86,86,63500,56,17,0,CC
2007961856,2007961856,2007961856,0,0,0,0,0,1,1,87,87,63501,56,17,0,CC
5264896,5264896,5264896,0,0,0,0,0,1,1,86,86,63502,56,17,0,CC
1006654976,1006654976,1006654976,0,0,0,0,0,1,1,87,87,63503,56,17,0,CC
5439232,5439232,5439232,0,0,0,0,0,1,1,86,86,63504,56,17,0,CC
1358848,809984,0,0,4,0,0,0,3,1,2223,315,49668,160,6,1026,Access
733184,733184,733184,0,0,0,0,0,1,1,193,144,88,56,17,0,Access
733184,733184,733184,0,0,0,0,0,1,1,190,144,88,56,17,0,Access
939264,939264,939264,0,0,0,0,0,1,1,194,144,88,56,17,0,Access
1255936,1255936,1255936,0,0,0,0,0,1,1,202,244,88,56,17,0,Access
907008,907008,907008,0,0,0,0,0,1,1,191,144,88,56,17,0,Access
577280,577280,577280,0,0,0,0,0,1,1,194,237,88,56,17,0,Access
642048,642048,642048,0,0,0,0,0,1,1,191,144,88,56,17,0,Access
436992,436992,436992,0,0,0,0,0,1,1,197,239,88,56,17,0,Access
324096,324096,324096,0,0,0,0,0,1,1,196,144,88,56,17,0,Access
251904,251904,251904,0,0,0,0,0,1,1,194,144,88,56,17,0,Access
1186048,1186048,1186048,0,0,0,0,0,1,1,285,211,88,56,17,0,Access
494848,494848,494848,0,0,0,0,0,1,1,280,206,88,56,17,0,Access
647936,647936,647936,0,0,0,0,0,1,1,277,144,88,56,17,0,Access
606720,606720,0,0,3,0,0,0,1,2,293,1585,88,120,6,1026,Access
89372672,63208960,9984,2,33,0,0,0,16,18,3398,3853,50199,1384,6,8212,Access
3631616,747776,46080,2,11,0,1,0,7,5,1570,1272,445,504,6,8192,Access
2337024,698880,38912,2,9,0,1,0,6,4,944,966,445,424,6,8192,Access
2169088,613120,41984,2,9,0,1,0,6,4,944,966,445,424,6,8192,Access
10607760896,10596806144,18944,0,24,0,0,0,12,12,4520,2471,445,960,6,8212,Access
1793792,645888,0,0,7,0,0,0,4,3,2277,556,135,280,6,1026,Access
66084864,55183104,142080,0,9,0,0,0,4,5,1352,3402,445,360,6,8210,Access
91782912,22162944,110848,0,38,0,0,0,19,19,5184,8077,389,1520,6,1026,Access
438016,166912,126976,0,4,0,0,0,2,2,436,388,135,160,6,8212,Access
19675904,6902016,80128,0,16,0,0,0,7,9,2014,1992,49667,640,6,1026,Access
4493824,2938112,47104,0,9,0,0,0,4,5,816,1478,60998,360,6,1026,Access
1082880,708864,141824,0,4,0,0,0,2,2,1395,1300,49669,160,6,1026,Access
260580864,206615808,0,0,17,0,0,0,8,9,1844,7406,49667,680,6,1026,Access
609280,307968,51968,0,5,0,1,0,2,3,252,306,60834,200,6,8209,Access
89302784,20254976,27904,0,67,0,0,0,35,32,7738,8506,50037,2680,6,8212,Access
19723776,6404096,38912,0,36,0,0,0,18,18,4318,4998,445,1440,6,8212,Discovery
2513920,1543936,18944,0,11,0,0,0,2,9,244,46086,135,440,6,8212,Discovery
15758080,5195008,108800,0,46,0,0,0,23,23,5962,6138,445,1840,6,8212,Discovery
2850176768,2031618048,0,0,27,2,0,0,13,14,8888,7164,61627,1080,6,1026,Discovery
8646912,8339712,92160,0,4,0,0,0,2,2,126,121,445,184,6,1025,Discovery
84729856,54172928,0,2,91,0,0,0,47,45,11865,10920,445,3704,6,8212,Discovery
17914112,14445056,0,2,13,2,0,0,7,7,2622,914,61628,584,6,29200,Discovery
2230422784,2015995136,0,2,26,2,0,0,13,14,8001,5640,61629,1104,6,29200,Discovery
17191936,15309824,0,2,12,2,0,0,6,7,2562,914,61630,544,6,29200,Discovery
17157120,14428928,0,2,12,2,0,0,6,7,2562,914,61631,544,6,29200,Discovery
732740864,409404160,0,2,23,0,0,0,12,12,7781,5467,61632,984,6,29200,Discovery
15709184,14348032,0,2,12,2,0,0,6,7,2562,914,61633,544,6,29200,Discovery
82465792,27389952,0,2,15,0,0,0,8,8,3780,3249,61634,664,6,29200,Discovery
124280064,2897920,73984,0,700,0,0,0,350,350,41308,86892,135,28000,6,8212,Discovery
474978816,415947776,84992,0,22,0,0,0,11,11,1964,2062,50106,880,6,1026,Evasion
37793792,12743936,140032,0,10,0,0,0,5,5,1100,1136,50107,400,6,1026,Evasion
