PC1_float,PC2_float,PC3_float,PC4_float,PC5_float,PC6_float,PC7_float,PC8_float,PC9_float,PC10_float,PC11_float,PC12_float,PC1_code,PC2_code,PC3_code,PC4_code,PC5_code,PC6_code,PC7_code,PC8_code,PC9_code,PC10_code,PC11_code,PC12_code,Label
47630803825.57344,-17454071651.75102,-179176.53242898936,-39142.61044829532,-130064.93771523834,117.90598362501574,-45.45257831647375,-9.644240169477168,2.8982327893546467,0.8897495710415364,-0.6079124536852026,-1.097852860960403e-07,37958,1230,833,17744,1467,41768,0,8358,65535,33869,12333,13348,Benign
12658551504.683718,3405880315.760449,-36121.095679719285,31539.217427815158,978.6498615669432,0.23853985771584596,4.877019710006589,-0.6596080327424712,0.2300755893412651,0.8638564102775451,-0.367679762599056,-1.340301147074182e-08,11037,31678,2357,65278,10561,39231,36501,27877,34400,33448,22540,28481,Benign
45271562323.31123,-12058503629.768066,-168451.5356108216,-44306.42861277268,-126837.92526670491,-97.54673359420848,-1.1340546419574487,2.689301797686924,0.12055522620918523,-0.012657102155080563,0.011025325320114132,3.786888538108617e-08,36341,8974,936,14226,1634,37110,32110,35078,33154,19208,38668,36464,Benign
47970519121.81891,-13051468235.541243,-179048.58543164583,-45042.73466215196,-135787.82554992542,-104.85467681118875,-1.6066333293412747,2.3189858935905603,0.14833479786865816,0.014251564349425525,0.02037647305064419,3.3146665448024606e-08,38219,7656,835,13776,1069,36965,31799,34348,33446,19608,39028,35790,Benign
47143911958.931335,-12945500108.166903,-176038.78297188997,-44897.61858907752,-134147.9819449162,-103.62711509131285,-1.5651809276895265,3.2955363748520923,0.16223200433022406,-0.024051521493329592,0.008503363506200456,4.6405060894350514e-08,37583,7811,867,13874,1183,36992,31829,36470,33608,18984,38523,37871,Benign
46467148025.16161,-16059543256.550364,-178417.66922041314,-38036.41876819193,-142977.35418465247,-34.93981290428158,-17.10502314555313,-7.3627821593006075,1.0448155502793186,0.4331817779655307,-0.25866342550915616,-9.285573818821704e-08,37103,3348,840,18498,587,38478,20560,13325,43911,26405,27185,16017,Benign
45790027371.71357,-12237982994.988892,-170535.55920806178,-44443.7993206623,-128491.67240172124,-98.73620282202421,-1.2235559540848584,2.621372867656318,0.12597860386116827,-0.007865829801882801,0.012818109030959035,3.700660101318644e-08,36341,8974,936,14226,1634,37110,32110,35078,33154,19208,38668,36464,Benign
8590507442.455366,4640585599.32133,-20802.940956849365,31246.934120069818,12913.847115996301,9.96527527949614,4.713016655656554,-0.13696382475152746,0.18967414081515782,-0.07871911916434593,-0.6590375735821031,-9.921150370635629e-09,7906,33480,2520,65081,11389,39441,36382,29012,33929,18093,10161,29027,Benign
46046332129.72843,3553352545.604657,-139526.32524224155,-37963.08605299952,-41645.57831154349,-10.233707539346327,3.456925992801437,6.741499753056367,-0.04162457205198247,-0.5738877777688401,0.04793196670334199,9.131297994057348e-08,36738,31893,1256,18537,7603,39005,35471,43956,31230,10027,40198,44922,Benign
-1678529282.5174608,-105873014.66195048,2583.0202696983906,-33694.0854789568,-1362.078983500419,-0.9659583923671403,0.6638601850611017,-0.1285143399584131,-0.14478701878641262,0.08934164469435563,-0.15827089171672515,-3.463438855651759e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678167273.496521,-105705690.22034883,2582.2152229468456,-33694.06022528609,-1361.6214089670052,-0.9653094522624596,0.6638369446063698,-0.12851513535487624,-0.14478394197202643,0.08933628292402662,-0.1582693820050862,-3.4634206426474664e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678430436.0827377,-105827326.7823884,2566.06758936597,-33693.90190819334,-1377.184837473008,-0.9215105383006735,0.6958156631243319,-0.13109956525308752,-0.1468713419924998,0.08908653122049336,-0.15782331532795776,-3.512321276730068e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678295645.4898345,-105765025.12860057,2565.7678379159265,-33693.89250523084,-1377.0144639765242,-0.9212689116659519,0.6958070097635275,-0.131099861411345,-0.14687019637012194,0.08908453481664745,-0.1578227532012837,-3.5123144952922997e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677967013.187065,-105613127.76329263,2581.7698779353527,-33694.04625517038,-1361.3682826293718,-0.9649504641194446,0.6638240881846033,-0.12851557536143032,-0.14478223990449363,0.0893333168383127,-0.15826854684545613,-3.463410567368497e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677755199.3982172,-105515225.16448314,2581.298839942427,-33694.03147908646,-1361.1005528491828,-0.964570765122025,0.6638104900461963,-0.12851604075297784,-0.144780439640757,0.08933017963226915,-0.1582676635035397,-3.4633999108234327e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678435570.9624672,-105829700.17872319,2566.0790084688288,-33693.902266401434,-1377.1913278919217,-0.9215197431248533,0.695815992776172,-0.13109955397086814,-0.14687138563525703,0.08908660727397319,-0.15782333674230725,-3.512321535070554e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678097952.620243,-105673649.36971173,2565.328202455863,-33693.87871421918,-1376.7645828483478,-0.9209145259350269,0.695794318167681,-0.1311002957767895,-0.14686851612396776,0.08908160675767346,-0.1578219287488284,-3.5123045491835717e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
41313365035.72208,-9104612231.468208,-148928.46620966765,-42622.80571477099,-104381.88113122676,-68.60581533762783,12.203995035814035,16.674415298359833,-0.46710706322347206,-0.7825251076926842,0.047823168397550464,2.2259418296446354e-07,33095,13417,1156,15404,3249,37747,41815,65535,26265,6629,40194,65535,Benign
41351674510.79568,-8976041436.731222,-148907.76666716026,-42573.180659332524,-103828.19860834205,-68.38553313584407,11.582200868298914,15.85593226587265,-0.4424127048784351,-0.7446973152240043,0.04700612797973411,2.117082824121584e-07,33124,13604,1156,15437,3287,37751,41364,63757,26553,7245,40159,63826,Benign
-1677606287.8860574,-105446396.67077468,2580.9676859595224,-33694.021091051705,-1360.9123307006862,-0.9643038252208088,0.6638009301428315,-0.12851636793733834,-0.14477917400079673,0.08932797408135368,-0.15826704248740456,-3.4633924189493268e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1677271236.9836981,-105291532.55993061,2580.222589497986,-33693.9977179735,-1360.488830866569,-0.9637032104430723,0.6637794203602605,-0.1285171041021499,-0.1447763263108861,0.08932301159179384,-0.15826564520110042,-3.463375562232589e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1676919497.72229,-105128954.91088088,2562.7075183497695,-33693.79650546136,-1375.2750317076595,-0.9188020187857467,0.6957186630703623,-0.13110288504612644,-0.14685850011117862,0.08906415248404927,-0.15781701415562072,-3.512245260041941e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1676697414.1739829,-105026305.51940186,2562.213642151127,-33693.78101296125,-1374.994321089643,-0.9184039101399674,0.6957044056282751,-0.13110337300211272,-0.1468566125619275,0.08906086317104601,-0.15781608798500535,-3.5122340868159045e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
-1678001673.62524,-105629148.18855235,2581.8469568796495,-33694.04867307503,-1361.4120929570392,-0.9650125966826587,0.6638263133345245,-0.12851549920644978,-0.14478253449310508,0.08933383019930166,-0.15826869139231517,-3.4634123111667795e-09,5,26555,2769,21409,10398,39206,33460,29034,30012,20825,31448,30043,Benign
